anime_id,name,rating,type,episodes,date,adult,members,genres
1,Cowboy Bebop,8.78,TV,26,Spring 1998,1,922160,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
5,Cowboy Bebop: Tengoku no Tobira,8.39,Movie,1,Unknown,1,215181,"Action, Drama, Mystery, Sci-Fi, Space"
6,Trigun,8.24,TV,26,Spring 1998,0,411995,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
7,Witch Hunter Robin,7.27,TV,26,Summer 2002,0,60964,"Action, Mystery, Police, Supernatural, Drama, Magic"
8,Bouken Ou Beet,6.98,TV,52,Fall 2004,0,9830,"Adventure, Fantasy, Shounen, Supernatural"
15,Eyeshield 21,7.95,TV,145,Spring 2005,0,118057,"Action, Sports, Comedy, Shounen"
16,Hachimitsu to Clover,8.06,TV,24,Spring 2005,0,115981,"Comedy, Drama, Josei, Romance, Slice of Life"
17,Hungry Heart: Wild Striker,7.59,TV,52,Fall 2002,0,16591,"Slice of Life, Comedy, Sports, Shounen"
18,Initial D Fourth Stage,8.15,TV,24,Spring 2004,0,101458,"Action, Cars, Sports, Drama, Seinen"
19,Monster,8.76,TV,74,Spring 2004,1,349635,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
20,Naruto,7.91,TV,220,Fall 2002,0,1760930,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
21,One Piece,8.52,TV,500,Fall 1999,0,1211530,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
22,Tennis no Ouji-sama,7.9,TV,178,Fall 2001,0,113537,"Action, Comedy, Sports, School, Shounen"
23,Ring ni Kakero 1,6.38,TV,12,Fall 2004,0,1944,"Action, Shounen, Sports"
24,School Rumble,7.94,TV,26,Fall 2004,0,196413,"Comedy, Romance, School, Shounen"
25,Sunabouzu,7.42,TV,24,Fall 2004,1,74298,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen"
26,Texhnolyze,7.76,TV,22,Spring 2003,1,76794,"Action, Sci-Fi, Psychological, Drama"
27,Trinity Blood,7.32,TV,24,Spring 2005,1,114041,"Action, Supernatural, Vampire"
28,Yakitate!! Japan,7.95,TV,69,Fall 2004,0,55396,"Comedy, Shounen"
29,Zipang,7.51,TV,26,Fall 2004,0,8984,"Action, Military, Sci-Fi, Historical, Drama, Seinen"
30,Neon Genesis Evangelion,8.32,TV,26,Fall 1995,0,938411,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
31,Neon Genesis Evangelion: Death & Rebirth,7.45,Movie,1,Unknown,1,150173,"Drama, Mecha, Psychological, Sci-Fi"
32,Neon Genesis Evangelion: The End of Evangelion,8.51,Movie,1,Unknown,1,494934,"Sci-Fi, Dementia, Psychological, Drama, Mecha"
33,Kenpuu Denki Berserk,8.49,TV,25,Fall 1997,1,318271,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
43,Koukaku Kidoutai,8.29,Movie,1,Unknown,1,339165,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,OVA,4,Unknown,1,161502,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,TV,94,Winter 1996,0,294937,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,Movie,1,Unknown,1,35694,"Samurai, Historical, Drama, Shounen"
47,Akira,8.17,Movie,1,Unknown,1,448009,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen"
48,.hack//Sign,6.98,TV,26,Spring 2002,0,118457,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy"
49,Aa! Megami-sama!,7.32,OVA,5,Unknown,0,37328,"Comedy, Magic, Romance, Seinen, Supernatural"
50,Aa! Megami-sama! (TV),7.35,TV,24,Winter 2005,0,106213,"Comedy, Supernatural, Magic, Romance, Seinen"
51,Tenshi Kinryouku,6.31,OVA,3,Unknown,1,35853,"Action, Drama, Romance, Shoujo, Supernatural"
52,Kidou Tenshi Angelic Layer,7.26,TV,26,Spring 2001,0,40098,"Sci-Fi, Comedy, Sports, Drama, Shounen"
53,Ai Yori Aoshi,7.14,TV,24,Spring 2002,0,74160,"Harem, Slice of Life, Comedy, Drama, Romance"
54,Appleseed (Movie),7.1,Movie,1,Unknown,1,53779,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
55,Arc the Lad,6.53,TV,26,Spring 1999,1,9241,"Action, Adventure, Fantasy, Horror, Sci-Fi"
56,Avenger,5.91,TV,13,Fall 2003,1,10490,"Adventure, Fantasy, Sci-Fi, Shounen"
57,Beck,8.31,TV,26,Fall 2004,1,162690,"Comedy, Drama, Music, Shounen, Slice of Life"
58,Blue Gender,7.05,TV,26,Fall 1999,1,40050,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
59,Chobits,7.43,TV,26,Spring 2002,0,328210,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
60,Chrno Crusade,7.66,TV,24,Fall 2003,1,145435,"Action, Demons, Historical, Romance, Shounen, Supernatural"
